source_with_markdown,source_without_markdown,target_without_markdown,target_with_markdown
"This morning I woke up to the hopeful news that some Russian forces are [pulling back from the border](https://www.bbc.com/news/world-europe-60392259) with Ukraine. Unfortunately, this isn’t quite the positive sign it might appear.

Anyone who understands Russian military history and doctrine knows that Moscow relies on what is often called _maskirovka_.

Russiaphobic bigots [like Anne Applebaum](https://www.theatlantic.com/ideas/archive/2022/02/lavrov-russia-diplomacy-ukraine/622075/) pretend this means Russians are always lying, but this isn’t at all the case. Maskirovka is about keeping an opponent guessing about your true intentions, and nothing more — everything else is just fluff designed to muddy waters.

Putin, an old KGB hand, knows this game and plays it well. Everything Russia has done for the past year makes perfect sense if you accept that what Putin is after is in fact very simple.","This morning I woke up to the hopeful news that some Russian forces are pulling back from the border with Ukraine. Unfortunately, this isn’t quite the positive sign it might appear. Anyone who understands Russian military history and doctrine knows that Moscow relies on what is often called maskirovka. Russiaphobic bigots like Anne Applebaum pretend this means Russians are always lying, but this isn’t at all the case. Maskirovka is about keeping an opponent guessing about your true intentions, and nothing more — everything else is just fluff designed to muddy waters. Putin, an old KGB hand, knows this game and plays it well. Everything Russia has done for the past year makes perfect sense if you accept that what Putin is after is in fact very simple."," Russian forces are pulling back from the border with Ukraine. Putin, an old KGB hand, knows this game and plays it well.","Russian forces are [pulling back from the border](https://www.bbc.com/news/world-europe-60392259) with Ukraine. Putin, an old KGB hand, knows this game and plays it well."
"He wants Ukraine to become a Russian client state like it used to be, as Belarus is today. This means eliminating the possibility of Ukraine ever joining NATO.

Any savvy observer knows [Ukraine isn’t joining NATO any time soon](https://www.nytimes.com/2022/01/13/us/politics/nato-ukraine.html). Ukraine is too corrupt and undemocratic to qualify for membership now, and NATO itself probably won’t be around in ten years and its member states know it. NATO functions as a way of getting American taxpayers to fund defense spending European countries ought to be providing themselves. In exchange European leaders get a ready-made excuse to let America do their dirty work while acting in public like they’re restraining America’s worst impulses.","He wants Ukraine to become a Russian client state like it used to be, as Belarus is today. This means eliminating the possibility of Ukraine ever joining NATO. Any savvy observer knows Ukraine isn’t joining NATO any time soon. Ukraine is too corrupt and undemocratic to qualify for membership now, and NATO itself probably won’t be around in ten years and its member states know it. NATO functions as a way of getting American taxpayers to fund defense spending European countries ought to be providing themselves. In exchange European leaders get a ready-made excuse to let America do their dirty work while acting in public like they’re restraining America’s worst impulses."," Ukraine is too corrupt and undemocratic to qualify for membership now, and NATO itself probably won't be around in ten years and its member states know it.","Ukraine is too corrupt and undemocratic to qualify for membership now, and NATO itself probably won't be around in ten years and its member states know it."
"NATO [utterly failed in Afghanistan for a reason](https://www.reuters.com/world/europe/czech-president-natos-failure-afghanistan-puts-its-legitimacy-question-2021-08-17/): NATO itself has always been a bluff, a shaky alliance including [mutual mortal foes Greece and Turkey](https://www.brookings.edu/research/turkey-europe-and-the-eastern-mediterranean-charting-a-way-out-of-the-current-deadlock/) intended to keep the Soviet Union from thinking it could invade countries critical to American interests. NATO allowed Hungary and Czechoslovakia to fall to Moscow when Joe Biden was young, and the only battles it has ever fought have been against Serbian and Taliban militants.

But Russian leaders like Putin don’t look at the present and assume it will continue forever. They habitually plan ten years down the road, using their recent experience of being basically at the mercy of America and NATO in the 1990s and 2000s.","NATO utterly failed in Afghanistan for a reason: NATO itself has always been a bluff, a shaky alliance including mutual mortal foes Greece and Turkey intended to keep the Soviet Union from thinking it could invade countries critical to American interests. NATO allowed Hungary and Czechoslovakia to fall to Moscow when Joe Biden was young, and the only battles it has ever fought have been against Serbian and Taliban militants. But Russian leaders like Putin don’t look at the present and assume it will continue forever. They habitually plan ten years down the road, using their recent experience of being basically at the mercy of America and NATO in the 1990s and 2000s.",NATO allowed Hungary and Czechoslovakia to fall to Moscow when Joe Biden was young. But Russian leaders like Putin don't look at the present and assume it will continue forever.,NATO allowed Hungary and Czechoslovakia to fall to Moscow when Joe Biden was young. But Russian leaders like Putin don't look at the present and assume it will continue forever.
"Americans blindly caught up in the fake war to protect democracy, as if America itself actually is one, want to pretend that autocrats like Putin aren’t accountable to anyone, but this isn’t strictly true. The Russian people could revolt against their oppressive government, but few ever will so long as the economy is okay and Russia feels important on the global stage — the same goes for America, for all world powers.","Americans blindly caught up in the fake war to protect democracy, as if America itself actually is one, want to pretend that autocrats like Putin aren’t accountable to anyone, but this isn’t strictly true. The Russian people could revolt against their oppressive government, but few ever will so long as the economy is okay and Russia feels important on the global stage — the same goes for America, for all world powers.","Americans want to pretend that autocrats like Putin aren't accountable to anyone, but this isn't strictly true. The Russian people could revolt against their oppressive government, but few ever will so long as the economy is okay.","Americans want to pretend that autocrats like Putin aren't accountable to anyone, but this isn't strictly true. The Russian people could revolt against their oppressive government, but few ever will so long as the economy is okay."
"Putin stays in power by promising enough of the right people he’ll make sure this is always the case. So he has an incentive to look into the future and estimate where Russia _could_ be in a decade. Because Ukraine continues to insist [Crimea and Donbas belong to it](https://www.france24.com/en/europe/20210823-ukraine-opens-international-summit-calling-for-return-of-crimea-from-russia) (and in an international legal sense, this is of course true), a future nightmare scenario haunts Moscow’s dreams, a scenario where Ukraine joins NATO then tries to reclaim these territories, plunging Russia into a conflict it might not be prepared for.

From Putin’s perspective Ukraine must be neutralized, and the fact the Zelensky government refuses to shelve NATO membership amplifies his concerns. Putin is clearly determined to end the unstable situation along the Russia-Ukraine border one way or another and while he is probably bluffing about surrounding Kyiv, the threat of it happening can’t be ignored.","Putin stays in power by promising enough of the right people he’ll make sure this is always the case. So he has an incentive to look into the future and estimate where Russia could be in a decade. Because Ukraine continues to insist Crimea and Donbas belong to it (and in an international legal sense, this is of course true), a future nightmare scenario haunts Moscow’s dreams, a scenario where Ukraine joins NATO then tries to reclaim these territories, plunging Russia into a conflict it might not be prepared for. From Putin’s perspective Ukraine must be neutralized, and the fact the Zelensky government refuses to shelve NATO membership amplifies his concerns. Putin is clearly determined to end the unstable situation along the Russia-Ukraine border one way or another and while he is probably bluffing about surrounding Kyiv, the threat of it happening can’t be ignored.",Putin has an incentive to look into the future and estimate where Russia could be in a decade. Ukraine continues to insist Crimea and Donbas belong to it.,Putin has an incentive to look into the future and estimate where Russia _could_ be in a decade. Ukraine continues to insist [Crimea and Donbas belong to it](https://www.france24.com/en/europe/20210823-ukraine-opens-international-summit-calling-for-return-of-crimea-from-russia).
"Major Russian military forces [historically deployed](https://www.washingtonpost.com/politics/2022/01/15/heres-what-we-know-about-russias-military-buildup-near-ukraine/) in Siberia have been moved to the western military districts. It is no accident that they are arrayed in a position to swiftly invade and occupy Ukraine if push comes to shove, moving to and from the border in a way that makes it impossible to know if an attack is about to commence.

Putin does not want to undertake a large-scale invasion of Ukraine. But he is sending every credible signal possible that he’s willing to go down this road if he feels he must and he might if his objectives cannot be achieved any other way.","Major Russian military forces historically deployed in Siberia have been moved to the western military districts. It is no accident that they are arrayed in a position to swiftly invade and occupy Ukraine if push comes to shove, moving to and from the border in a way that makes it impossible to know if an attack is about to commence. Putin does not want to undertake a large-scale invasion of Ukraine. But he is sending every credible signal possible that he’s willing to go down this road if he feels he must and he might if his objectives cannot be achieved any other way.",Major Russian forces historically deployed in Siberia have been moved to the western military districts. Putin does not want to undertake a large-scale invasion of Ukraine.,Major Russian forces [historically deployed](https://www.washingtonpost.com/politics/2022/01/15/heres-what-we-know-about-russias-military-buildup-near-ukraine/) in Siberia have been moved to the western military districts. Putin does not want to undertake a large-scale invasion of Ukraine.
"American leaders are obsessed with the concept of [deterrence](https://en.wikipedia.org/wiki/Deterrence_theory), making the critical error in failing to think from Putin’s perspective. Deterrence is derived from [cost-benefit analysis](https://en.wikipedia.org/wiki/Cost%E2%80%93benefit_analysis), a technique I became quite familiar with earning a pair of policy focused masters degrees in grad school.

Americans absolutely _lurve_ cost-benefit analysis because it looks more concrete than it truly is. What gets counted as a cost or benefit is usually in some way a matter of perspective, and those with privilege get the costs and benefits set the way they like more often than not. CBA is used in policy mostly to justify an action some politician wants to take and needs cover for, and typically excludes vital soft factors like future expectations.","American leaders are obsessed with the concept of deterrence, making the critical error in failing to think from Putin’s perspective. Deterrence is derived from cost-benefit analysis, a technique I became quite familiar with earning a pair of policy focused masters degrees in grad school. Americans absolutely lurve cost-benefit analysis because it looks more concrete than it truly is. What gets counted as a cost or benefit is usually in some way a matter of perspective, and those with privilege get the costs and benefits set the way they like more often than not. CBA is used in policy mostly to justify an action some politician wants to take and needs cover for, and typically excludes vital soft factors like future expectations."," American leaders are obsessed with the concept of deterrence, making the critical error in failing to think from Putin's perspective. CBA is used in policy mostly to justify an action some politician wants to take and needs cover for.","American leaders are obsessed with the concept of [deterrence](https://en.wikipedia.org/wiki/Deterrence_theory), making the critical error in failing to think from Putin's perspective. CBA is used in policy mostly to justify an action some politician wants to take and needs cover for."
"American deterrence fails when an opponent decides the costs America says it is willing to impose are irrelevant, as they typically are. This is why America’s sanctions obsession is so vapid and toothless — by the time they’re applied the target has already worked out a way around them. Sanctions are a means of looking tough to a domestic audience and little more.

In Putin’s case, the threat of being cut off from the global banking system or natural gas exports to Europe is easily mitigated with Chinese support — Russia and China are [officially strong allies now](https://www.nbcnews.com/news/world/russia-china-forge-closer-ties-us-preoccupied-struggles-home-rcna15722), like the US and UK. Because America under Biden has refused to see sense and work out a long-term stable pact to prevent any war over Taiwan or the South China Sea, China has no reason to restrain Putin.","American deterrence fails when an opponent decides the costs America says it is willing to impose are irrelevant, as they typically are. This is why America’s sanctions obsession is so vapid and toothless — by the time they’re applied the target has already worked out a way around them. Sanctions are a means of looking tough to a domestic audience and little more. In Putin’s case, the threat of being cut off from the global banking system or natural gas exports to Europe is easily mitigated with Chinese support — Russia and China are officially strong allies now, like the US and UK. Because America under Biden has refused to see sense and work out a long-term stable pact to prevent any war over Taiwan or the South China Sea, China has no reason to restrain Putin."," Sanctions are a means of looking tough to a domestic audience and little more. In Putin's case, the threat of being cut off from the global banking system or natural gas exports to Europe is easily mitigated with Chinese support.","Sanctions are a means of looking tough to a domestic audience and little more. In Putin's case, the threat of being cut off from the global banking system or natural gas exports to Europe is easily mitigated with Chinese support."
"The past few weeks the world has watched NATO scramble and take ineffectual action to cover itself while leaving Ukraine basically alone, armed with weapons only truly useful in a bitter, [mutually destructive insurgency](https://www.nytimes.com/2022/01/14/us/politics/russia-ukraine-biden-military.html). [Public proclamations of NATO unity](https://www.nytimes.com/2022/01/14/world/europe/nato-russia-ukraine-europe.html) are covering up deep cracks between the main continental European participants, Germany and France, and the US/UK.","The past few weeks the world has watched NATO scramble and take ineffectual action to cover itself while leaving Ukraine basically alone, armed with weapons only truly useful in a bitter, mutually destructive insurgency. Public proclamations of NATO unity are covering up deep cracks between the main continental European participants, Germany and France, and the US/UK.",NATO scramble and take ineffectual action to cover itself while leaving Ukraine alone. Public proclamations of NATO unity are covering up deep cracks between Germany and France.,NATO scramble and take ineffectual action to cover itself while leaving Ukraine alone. [Public proclamations of NATO unity](https://www.nytimes.com/2022/01/14/world/europe/nato-russia-ukraine-europe.html) are covering up deep cracks between Germany and France.
"Putin has now successfully bluffed the US and UK into [pulling advisers out of Ukraine](https://www.cnbc.com/2022/02/12/pentagon-orders-departure-of-us-troops-in-ukraine.html) and [issue panicky warnings](https://www.npr.org/2022/02/11/1080060546/biden-us-citizens-leave-ukraine) to citizens to evacuate — while [offering no assistance](https://www.npr.org/2022/02/11/1080060546/biden-us-citizens-leave-ukraine) if they’re caught in the fighting or, y’know, have Ukrainian families who can’t just up and leave. The threat of conflict means airlines are stopping service. Investment in Ukraine is going to be a massive risk going forward. America’s leadership is helping Putin win.","Putin has now successfully bluffed the US and UK into pulling advisers out of Ukraine and issue panicky warnings to citizens to evacuate — while offering no assistance if they’re caught in the fighting or, y’know, have Ukrainian families who can’t just up and leave. The threat of conflict means airlines are stopping service. Investment in Ukraine is going to be a massive risk going forward. America’s leadership is helping Putin win.",The threat of conflict means airlines are stopping service. Investment in Ukraine is going to be a massive risk going forward.,The threat of conflict means airlines are stopping service. Investment in Ukraine is going to be a massive risk going forward.
"The irony is that _so far_ all Putin has done is load his weapon and do some target practice around Ukraine. Putin doesn’t have to decide on a date to invade Ukraine — he can simply park his forces where they are as a permanent, existential threat. The idea that Russia will attack Ukraine out of nowhere is frankly silly, because he gains far more by exhausting Ukraine over time with constant aggressive maneuvers Kyiv can’t ignore than a massive invasion.

For the past month, Russian intelligence has been aggressively working on a maskirovka campaign specifically designed to gaslight American and allied intelligence. Politicians and pundits are latching onto every intelligence intercept [alleging nefarious Russian plans](https://nymag.com/intelligencer/2022/02/does-biden-still-think-a-russian-invasion-is-inevitable.html) ranging from false-flag attacks to coup plots against Zelensky.","The irony is that so far all Putin has done is load his weapon and do some target practice around Ukraine. Putin doesn’t have to decide on a date to invade Ukraine — he can simply park his forces where they are as a permanent, existential threat. The idea that Russia will attack Ukraine out of nowhere is frankly silly, because he gains far more by exhausting Ukraine over time with constant aggressive maneuvers Kyiv can’t ignore than a massive invasion. For the past month, Russian intelligence has been aggressively working on a maskirovka campaign specifically designed to gaslight American and allied intelligence. Politicians and pundits are latching onto every intelligence intercept alleging nefarious Russian plans ranging from false-flag attacks to coup plots against Zelensky."," Putin doesn't have to decide on a date to invade Ukraine — he can simply park his forces where they are as a permanent, existential threat. The idea that Russia will attack Ukraine out of nowhere is frankly silly.","Putin doesn't have to decide on a date to invade Ukraine — he can simply park his forces where they are as a permanent, existential threat. The idea that Russia will attack Ukraine out of nowhere is frankly silly."
"What’s darkly hilarious about watching the Biden Administration pretend it can deter Russian actions by pointing out everything they are talking about doing is that it gives Russia a direct means of faking America out. Knowing that Biden is going to publicly warn about every crazy plot someone discusses in Moscow, Putin has been able to trap him in a dynamic where America looks like its crying chicken little every five minutes.

A beneficial side effect, from Putin’s perspective, is that Biden, with every warning not backed by threat of meaningful action, weakens America’s position. If any diplomatic deal prevents the outbreak of war it will stem from German efforts underway this week.

Putin pulling back some troops from the border ahead of the new German chancellor Scholz is a classic technique. It _looks_ like he’s keeping a diplomatic off ramp clear, which he is — but not for the reasons American leaders hope.","What’s darkly hilarious about watching the Biden Administration pretend it can deter Russian actions by pointing out everything they are talking about doing is that it gives Russia a direct means of faking America out. Knowing that Biden is going to publicly warn about every crazy plot someone discusses in Moscow, Putin has been able to trap him in a dynamic where America looks like its crying chicken little every five minutes. A beneficial side effect, from Putin’s perspective, is that Biden, with every warning not backed by threat of meaningful action, weakens America’s position. If any diplomatic deal prevents the outbreak of war it will stem from German efforts underway this week. Putin pulling back some troops from the border ahead of the new German chancellor Scholz is a classic technique. It looks like he’s keeping a diplomatic off ramp clear, which he is — but not for the reasons American leaders hope.",Putin has been able to trap him in a dynamic where America looks like its crying chicken little every five minutes. If any diplomatic deal prevents the outbreak of war it will stem from German efforts underway this week.,Putin has been able to trap him in a dynamic where America looks like its crying chicken little every five minutes. If any diplomatic deal prevents the outbreak of war it will stem from German efforts underway this week.
"From the get-go Putin’s rhetoric about _why_ Russia cares so much about Ukraine has indicated a clear endgame: Russia insists Ukraine is plotting an offensive in Donbas — and one day Crimea — that will harm Russian people. Yesterday the Russian Duma asked Putin to recognize Donetsk and Lukhansk, which more or less means Russia can annex them under the pretense of protecting Russian citizens.","From the get-go Putin’s rhetoric about why Russia cares so much about Ukraine has indicated a clear endgame: Russia insists Ukraine is plotting an offensive in Donbas — and one day Crimea — that will harm Russian people. Yesterday the Russian Duma asked Putin to recognize Donetsk and Lukhansk, which more or less means Russia can annex them under the pretense of protecting Russian citizens.",Russia insists Ukraine is plotting an offensive in Donbas that will harm Russian people.,Russia insists Ukraine is plotting an offensive in Donbas that will harm Russian people.
"Russia’s military buildup has been slow and deliberate over the past year, punctuated with sudden movements under the guise of exercises. This is a long-term shift in Russia’s positions intended to communicate that Russia trusts China and potential conflicts in Europe and Asia will always be linked.

I seriously doubt any conflict in Ukraine begins with a sudden massive Russian attack —the bluff this could happen has been useful making London and Washington panic but doesn’t match up with Putin’s domestic rhetoric. What he needs to justify an attack is an outburst of violence like what appears to be now escalating in Donbas.

That, of course, is why American and British media have been [hyping the danger of a false-flag attack](https://www.cnn.com/2022/01/14/politics/us-intelligence-russia-false-flag/index.html). The problem with them doing this is that by definition false-flag operations are difficult to attribute with any certainty — if an attack comes, everyone will believe what they want to.","Russia’s military buildup has been slow and deliberate over the past year, punctuated with sudden movements under the guise of exercises. This is a long-term shift in Russia’s positions intended to communicate that Russia trusts China and potential conflicts in Europe and Asia will always be linked. I seriously doubt any conflict in Ukraine begins with a sudden massive Russian attack —the bluff this could happen has been useful making London and Washington panic but doesn’t match up with Putin’s domestic rhetoric. What he needs to justify an attack is an outburst of violence like what appears to be now escalating in Donbas. That, of course, is why American and British media have been hyping the danger of a false-flag attack. The problem with them doing this is that by definition false-flag operations are difficult to attribute with any certainty — if an attack comes, everyone will believe what they want to.","Russia's military buildup has been slow and deliberate over the past year, punctuated with sudden movements under the guise of exercises. This is a long-term shift in Russia’s positions intended to communicate that Russia trusts China and potential conflicts in Europe and Asia will always","Russia's military buildup has been slow and deliberate over the past year, punctuated with sudden movements under the guise of exercises. This is a long-term shift in Russia’s positions intended to communicate that Russia trusts China."
"My fear is that Wagner-affiliated mercenaries are plotting a major attack with chemical weapons somewhere in Donbas that will take place before the end of February. Both American and [Russian sources](https://www.politico.eu/article/russia-us-mercenaries-plan-chemical-attack-ukraine/) weeks ago hinted at the other side launching some kind of chemical weapons attack, which is classic in false-flag operations.

When one is launched, no one will be sure who actually did it for some time. It took months of direct inspections to prove [Syria used chemical weapons in Syria](https://en.wikipedia.org/wiki/Use_of_chemical_weapons_in_the_Syrian_civil_war), and many key facts are still afflicted by public doubt.","My fear is that Wagner-affiliated mercenaries are plotting a major attack with chemical weapons somewhere in Donbas that will take place before the end of February. Both American and Russian sources weeks ago hinted at the other side launching some kind of chemical weapons attack, which is classic in false-flag operations. When one is launched, no one will be sure who actually did it for some time. It took months of direct inspections to prove Syria used chemical weapons in Syria, and many key facts are still afflicted by public doubt.",Both American and Russian sources hinted at the other side launching some kind of chemical weapons attack. It took months of direct inspections to prove Syria used chemical weapons in Syria.,Both American and Russian sources hinted at the other side launching some kind of chemical weapons attack. It took months of direct inspections to prove [Syria used chemical weapons in Syria](https://en.wikipedia.org/wiki/Use_of_chemical_weapons_in_the_Syrian_civil_war).
