generated,expected,generated_md,original_md
By Ingrid Dickinson By,Ingrid Dickinson - Ingrid Dickinson,(MD0)(MD1)(MD1)By Ingrid Dickinson (MD2)(MD2)(MD2)(MD1)(MD1)(MD0) (MD0) (MD0)(MD1)(MD2)(MD2)(MD2)(MD1)(MD2)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD1)(MD0)(MD0)(MD0)(MD0)(MD1)(MD0)(MD1)(MD1)(MD1)By,(MD0)(MD1)(MD2)By Ingrid Dickinson(MD2)(MD1)(MD0)
"0 0 0 0 0 0 On February 23, 2022, the Telegram channel (War on Fakes) first appeared online, with a modest 161 subscribers ending its first day.","The Telegram channel <unk>она с ками (“War on Fakes”) first appeared online on February 23, 2022, the first day of the first day with a modest 161 subscribers.","(MD0) 0 (MD0) 0 (MD0) 0 (MD0) 0 (MD0) 0 (MD0) 0 (MD0) On February 23, 2022, the Telegram channel (MD1) (War on Fakes) first appeared online, with a modest 161 subscribers ending its first day.","(MD0)On February 23, 2022, the Telegram channel (MD1)Война с фейками(MD1) (“War on Fakes”) first appeared online, ending its first day with a modest 161 subscribers.(MD0)"
"MD0)It quickly soared; within two weeks, War on Fakes grew to over 625,000 subscribers and is now one of Russia's top Telegram channels with a reach of more than 30 million daily viewers.","War on Fakes soared to over 625,000 subscribers in less than two weeks and is now one of Russia's most popular Telegram channels with a reach of more than 30 million daily viewers.","MD0)It quickly soared; within two weeks, War on Fakes grew to over 625,000 subscribers and is now one of Russia's top Telegram channels with a reach of more than 30 million daily viewers. (MD0)","(MD0)It quickly skyrocketed; within two weeks, War on Fakes grew to over 625,000 subscribers and is now one of the top Telegram channels in Russia, with a reach of more than 30 million daily views.(MD0)"
"The channel, which appears to be debunking the ""information war against Russia,"" disseminates disinformation and propaganda under the facade of a fact-checking operation.","Under the facade of a fact-checking operation, the channel, which appears to be debunking the ""information war against Russia,"" disinformation and propaganda.","(MD0) The channel, which appears to be debunking the ""information war against Russia,"" disseminates disinformation and propaganda under the facade of a fact-checking operation. (MD0)","(MD0)The channel, which presents itself as debunking the “information war against Russia,” spreads disinformation and propaganda under the façade of a fact-checking service.(MD0)"
"- The growth since its inception suggests that it is gaining traction more widely, including through the publication of an English-language website. 0:","Its remarkable growth since its inception shows that it is gaining traction more widely, including through the releasing of an English-language website.","(MD0) - The growth since its inception suggests that it is gaining traction more widely, including through the publication of an English-language (MD1)website (MD1). (MD0) 0: (MD0)","(MD0)Its staggering growth since its inception indicates it may be gaining traction more broadly, including through the publishing of an English-language (MD1)website(MD1).(MD0)"
"""The War on Fakes' operators describe themselves on its English-language website as ""the owners and administrators of several non-political telegram channels.""","On its English-language website, the War on Fakes' leaders state, ""the owners and administrators of several non-political telegram channels"" are listed.","(MD0) ""The War on Fakes' operators (MD1)describe themselves (MD1) on its English-language website as ""the owners and administrators of several non-political telegram channels.""","(MD0)The War on Fakes’ operators (MD1)describe themselves(MD1) on its English-language website as “the owners and administrators of several non-political telegram channels.” They continue, “We don’t do politics.(MD0)"
"Despite its extreme pro-Russia bias, we think it's important to have objective information about what's going on in Ukraine and Donbass' territories.","Despite its strong pro-Russia bias, we think it's important to have objective information about what's going on in Ukraine and Donbass' territories.","(MD0) Despite its extreme pro-Russia bias, we think it's important to have objective information about what's going on in Ukraine and Donbass' territories.","(MD0)But we consider it important to provide objective information about what is happening in Ukraine and the territories of Donbass, since we see signs of an information war launched against Russia.” This introduction is intended to present War on Fakes as an objective source for fact-checking mis- and disinformation about the Russia-Ukraine conflict, despite its extreme pro-Russia bias.(MD0)"
"A pinched message on the Telegram channel points to a Russian version of the website, xn. p1ai.","A pinned post to the Telegram channel points to a Russian version of the website, xn — 80aaenqccitej3b1b.xn — p1ai.","(MD0) A pinched message on the Telegram channel points to a Russian version of the website, xn. (MD0) p1ai. (MD0)","(MD0)A pinned post to the Telegram channel points toward a Russian version of website, xn — 80aaenqccitej3b1b.xn — p1ai.(MD0)"
The DFRLab is not linking directly to the website because Microsoft Edge and Firefox malware scanners have both warned that the page is dangerous.,"Since Microsoft Edge and Firefox malware scanners both warn that the page is dangerous, the DFRLab is not linking directly to the website.",(MD0) The DFRLab is not linking directly to the website because Microsoft Edge and Firefox malware scanners have both warned that the page is dangerous. (MD0),(MD0)The DFRLab is not linking directly to the webpage because Microsoft Edge and Firefox malware detectors both warn that the site is malicious.(MD0)
"A review of the channel's posts shows that War on Fakes is not objective, but rather that content is used to promote stories echoed by Russian state media and the Kremlin.","A review of the channel's posts shows that War on Fakes is not objective, but rather that content is used to promote stories echoed by Russian state media and the Kremlin.","(MD0) A review of the channel's posts shows that War on Fakes is not objective, but rather that content is used to promote stories echoed by Russian state media and the Kremlin. (MD0)","(MD0)A scan of the channel’s posts makes it clear that War on Fakes is not objective, instead pushing content to support narratives echoed by Russian state media and the Kremlin.(MD0)"
