generated,expected,generated_md,original_md
The rumors of martial law were tamped down by Vladimir Putin. Demonstrations continue across the federation.,Demonstrations continue across the federation. It's not just in the more cosmopolitan areas of the federation like Moscow and St Petersburg.,The rumors of martial law were tamped down by Vladimir Putin. Demonstrations continue across the federation.,"(MD0)In other words, they don’t want to be there.(MD0)(MD0)Then we know the rumors of martial law (I believe it will come) were tamped down by Vladimir Putin. Demonstrations continue across the federation. It’s not just in the more cosmopolitan areas of the federation like Moscow and St Petersburg. It’s also in places like (MD1)Kazakhstan(MD1).(MD0)"
"This is a client state of the Russian Federation, not unlike Chechnya. It means there is internal dissent.","This is a client state of the Russian Federation, not unlike Chechnya. It means there is internal dissent.","This is a client state of the Russian Federation, not unlike Chechnya. It means there is internal dissent.","(MD0)This is a client state of the Russian Federation, not unlike Chechnya. They may be trying to avoid sanctions, but it is very significant. It means there is internal dissent.(MD0)"
"A lot of the national guard, the Rosgvardyia, have been deployed to Ukraine. Many have been killed or injured. Some are in captivity at this point.","A lot of the national guard, the Rosgvardyia, have been deployed to Ukraine. Many have been killed or injured. Some are in captivity at this point.","A lot of the national guard, the Rosgvardyia, have been deployed to Ukraine. Many have been killed or injured. Some are in captivity at this point.","(MD0)There is another detail. A lot of the national guard, the Rosgvardyia, have been deployed to Ukraine. Many have been killed or injured. Some are in captivity at this point. I will not link to either video or audio of them speaking to the press, given it is a violation of the Geneva Convention. In time those testimonies should be added to war crimes and the history of the conflict. As a former Red Cross medic I cannot share in any conscience(MD0)"
Putin's words that only contract soldiers are on the front lines can skirt the reality.,Putin's words that only contract soldiers are on the front lines can skirt the reality.,Putin's words that only contract soldiers are on the front lines can skirt the reality.,"(MD0)However, they seem to confirm a common story we have heard. They did not know they were deployed to war. They don’t want to be there. They blame their government. We also know a lot of the troops were conscripts, who were forced to sign contracts. This is how Putin’s words that only contract soldiers are on the front lines can skirt the reality. Technically he is right. He is not telling people how these conscripts were forced to do this.(MD0)"
The reality is that deep corruption led to a Potemkin army.,"The supply chains are so broken that a forty-mile convoy seems stuck, perhaps abandoned. If you are a Russian military planner, you know this is a disaster. The reality is that deep corruption led to a Potemkin army.",The reality is that deep corruption led to a Potemkin army.,"(MD0)The supply chains are so broken that a forty-mile convoy seems stuck, perhaps abandoned. This is not helping. If you are a Russian military planner, you know this is a disaster. If you wonder how the oligarchs bought all the yachts, planes, and houses abroad, this is why. The reality is that deep corruption led to a Potemkin army.(MD0)"
Initial reports of strikes within the Russian Federation are impossible to confirm.,"Initial reports of strikes within the Russian Federation are impossible to confirm. However, some of this is likely already happening.",Initial reports of strikes within the Russian Federation are impossible to confirm.,"(MD0)We have initial reports of strikes within the Russian Federation. These are impossible to confirm, so use the proper amount of salt you need, and chiefly skepticism. However, some of this is likely already happening.(MD0)"
"Rationing of buckwheat and sugar is starting to start, says author.",The middle class is also starting to feel this. Rationing of buckwheat and sugar is starting to start.,"Rationing of buckwheat and sugar is starting to start, says author.","(MD0)The middle class is also starting to feel this. Rationing of buckwheat and sugar is starting. When you start to see buckwheat rationed, that’s a terrible indicator. But for the working class, they have lost a lot of buying power with salaries that were low to begin with.(MD0)(MD0)The caskets are starting to come home. This will add to the seething anger since I guarantee no child of the elite is anywhere close to being in uniform, or close to any front line.(MD0)"
This is when we enter the prospect of another revolution and the further balkanization of the Russian Federation.,This is when we enter the prospect of another revolution and the further balkanization of the Russian Federation. We saw a military that was poorly provisioned and led at the end of the first world war.,This is when we enter the prospect of another revolution and the further balkanization of the Russian Federation.,(MD0)This is when we enter the prospect of another revolution and the further balkanization of the Russian Federation. We saw a military that was poorly provisioned and led at the end of the first world war. Troops mutinied and we have evidence this already has happened.(MD0)
"The USSR could not keep the lights on, or the buckwheat on the shelves. The Russian economy is reeling.","The USSR could not keep the lights on, or the buckwheat on the shelves. The Russian economy is reeling.","The USSR could not keep the lights on, or the buckwheat on the shelves. The Russian economy is reeling.","(MD0)The army that came back from Afghanistan came to a nation that was falling apart. This is how the Baltic States and Ukraine came to be independent. The USSR could not keep the lights on, or the buckwheat on the shelves. For that matter, the sugar.(MD0)(MD0)The Russian economy is reeling. We know this perhaps the oligarchs are having a bad day since luxury goods are no longer in the market. But regular people are feeling it.(MD0)"
"Putin has closed the country to the world and criminalized even calling this war, a war.","Putin has closed the country to the world and criminalized even calling this war, a war. This could be setting the ground for a second Russian revolution, writes Peter Bergen.","Putin has closed the country to the world and criminalized even calling this war, a war.","(MD0)What is Putin doing? He has closed the country to the world and criminalized even calling this war, a war.(MD0)(MD0)This could be setting the ground for a second Russian revolution. The dynamic is in play. Of course, no revolution starts from nothing. The 1917 revolution was also a consequence of the disastrous Russo-Japanese war of 1905. These days pressure cookers tend to move faster. Russia is one right now.(MD0)"
"This is from Radio Free Europe, and provides an example of this tension.","This is from Radio Free Europe, and provides an example of this tension.","This is from (MD1)Radio Free Europe(MD1), and provides an example of this tension.","(MD0)This is from (MD1)Radio Free Europe(MD1), and provides an example of this tension:(MD0)"
The future is a far more diminished Russian Federation. This is Putin's legacy.,"The future is a far more diminished Russian Federation. This is Putin's legacy. Whether the country survives, or not, as it presently exists is a good question.",The future is a far more diminished Russian Federation. This is Putin's legacy.,"(MD0)The governor answered in University. This is in the Far East. In Rural Siberia. These were cops, not soldiers. The fact that whole towns are burying their dead, means that Russia cannot hide the level of this disaster.(MD0)(MD0)The future is a far more diminished Russian Federation. This is Putin’s legacy. Whether the country survives, or not, as it presently exists, is a good question.(MD0)"
