generated,expected,generated_md,original_md
Russian forces are pulling back from the border with Ukraine.,Some Russian forces are pulling back from the border with Ukraine.,Russian forces are pulling back from the border with Ukraine.,"(MD0)This morning I woke up to the hopeful news that some Russian forces are (MD1)pulling back from the border(MD1) with Ukraine. Unfortunately, this isn’t quite the positive sign it might appear.(MD0)(MD0)Anyone who understands Russian military history and doctrine knows that Moscow relies on what is often called (MD2)maskirovka(MD2).(MD0)"
"Russiaphobic bigots like Anne Applebaum pretend this means Russians are always lying, but this isn't true.",Maskirovka is about keeping an opponent guessing about your true intentions.,"Russiaphobic bigots like Anne Applebaum pretend this means Russians are always lying, but this isn't true.","(MD0)Russiaphobic bigots (MD1)like Anne Applebaum(MD1) pretend this means Russians are always lying, but this isn’t at all the case. Maskirovka is about keeping an opponent guessing about your true intentions, and nothing more — everything else is just fluff designed to muddy waters.(MD0)"
Putin wants Ukraine to become a Russian client state like Belarus is today. This means eliminating the possibility of Ukraine ever joining NATO.,Putin wants Ukraine to become a Russian client state like it used to be. This means eliminating the possibility of Ukraine ever joining NATO.,Putin wants Ukraine to become a Russian client state like Belarus is today. This means eliminating the possibility of Ukraine ever joining NATO.,"(MD0)Putin, an old KGB hand, knows this game and plays it well. Everything Russia has done for the past year makes perfect sense if you accept that what Putin is after is in fact very simple.(MD0)(MD0)He wants Ukraine to become a Russian client state like it used to be, as Belarus is today. This means eliminating the possibility of Ukraine ever joining NATO.(MD0)"
"Ukraine is too corrupt to qualify for NATO membership now, says John Sutter. NATO functions as a way of getting American taxpayers to fund defense spending European countries ought to be providing themselves.","Ukraine is too corrupt and undemocratic to qualify for membership now, and NATO itself probably won't be around in ten years. NATO functions as a way of getting American taxpayers to fund defense spending European countries ought to be providing themselves.","Ukraine is too corrupt to qualify for NATO membership now, says John Sutter. NATO functions as a way of getting American taxpayers to fund defense spending European countries ought to be providing themselves.","(MD0)Any savvy observer knows (MD1)Ukraine isn’t joining NATO any time soon(MD1). Ukraine is too corrupt and undemocratic to qualify for membership now, and NATO itself probably won’t be around in ten years and its member states know it. NATO functions as a way of getting American taxpayers to fund defense spending European countries ought to be providing themselves. In exchange European leaders get a ready-made excuse to let America do their dirty work while acting in public like they’re restraining America’s worst impulses.(MD0)"
NATO has always been a shaky alliance from thinking it could invade countries critical to American interests. NATO allowed Hungary and Czechoslovakia to fall to Moscow when Joe Biden was young.,NATO allowed Hungary and Czechoslovakia to fall to Moscow when Joe Biden was young. Only battles it has ever fought have been against Serbian and Taliban militants.,NATO has always been a shaky alliance from thinking it could invade countries critical to American interests. NATO allowed Hungary and Czechoslovakia to fall to Moscow when Joe Biden was young.,"(MD0)NATO (MD1)utterly failed in Afghanistan for a reason(MD1): NATO itself has always been a bluff, a shaky alliance including (MD2)mutual mortal foes Greece and Turkey(MD2) intended to keep the Soviet Union from thinking it could invade countries critical to American interests. NATO allowed Hungary and Czechoslovakia to fall to Moscow when Joe Biden was young, and the only battles it has ever fought have been against Serbian and Taliban militants.(MD0)"
"Russian leaders like Putin don't look at the present and assume it will continue forever. They habitually plan ten years down the road, using their recent experience of being basically at the mercy of America and NATO in the 1990s and 2000s.","Russian leaders habitually plan ten years down the road, using their recent experience of being basically at the mercy of America and NATO in the 1990s and 2000s.","Russian leaders like Putin don't look at the present and assume it will continue forever. They habitually plan ten years down the road, using their recent experience of being basically at the mercy of America and NATO in the 1990s and 2000s.","(MD0)But Russian leaders like Putin don’t look at the present and assume it will continue forever. They habitually plan ten years down the road, using their recent experience of being basically at the mercy of America and NATO in the 1990s and 2000s.(MD0)"
"Americans are caught up in the fake war to protect democracy, but this isn't true. The Russian people could revolt against their oppressive government, but few ever will so long as the economy is okay.","Americans want to pretend that autocrats like Putin aren't accountable to anyone, but this isn't strictly true. The Russian people could revolt against their oppressive government, but few ever will so long as the economy is okay.","Americans are caught up in the fake war to protect democracy, but this isn't true. The Russian people could revolt against their oppressive government, but few ever will so long as the economy is okay.","(MD0)Americans blindly caught up in the fake war to protect democracy, as if America itself actually is one, want to pretend that autocrats like Putin aren’t accountable to anyone, but this isn’t strictly true. The Russian people could revolt against their oppressive government, but few ever will so long as the economy is okay and Russia feels important on the global stage — the same goes for America, for all world powers.(MD0)"
Putin has an incentive to look into the future and estimate where Russia could be in a decade. Ukraine continues to insist Crimea and Donbas belong to it.,Putin has an incentive to look into the future and estimate where Russia could be in a decade. Ukraine continues to insist Crimea and Donbas belong to it.,Putin has an incentive to look into the future and estimate where Russia could be in a decade. Ukraine continues to insist Crimea and Donbas belong to it.,"(MD0)Putin stays in power by promising enough of the right people he’ll make sure this is always the case. So he has an incentive to look into the future and estimate where Russia (MD1)could(MD1) be in a decade. Because Ukraine continues to insist (MD2)Crimea and Donbas belong to it(MD2) (and in an international legal sense, this is of course true), a future nightmare scenario haunts Moscow’s dreams, a scenario where Ukraine joins NATO then tries to reclaim these territories, plunging Russia into a conflict it might not be prepared for.(MD0)"
Putin is determined to end the unstable situation along the Russia-Ukraine border one way or another.,Putin is determined to end the unstable situation along the Russia-Ukraine border one way or another.,Putin is determined to end the unstable situation along the Russia-Ukraine border one way or another.,"(MD0)From Putin’s perspective Ukraine must be neutralized, and the fact the Zelensky government refuses to shelve NATO membership amplifies his concerns. Putin is clearly determined to end the unstable situation along the Russia-Ukraine border one way or another and while he is probably bluffing about surrounding Kyiv, the threat of it happening can’t be ignored.(MD0)"
Major Russian military forces in Siberia have been moved to the western military districts.,Major Russian military forces historically deployed in Siberia have been moved to the western military districts.,Major Russian military forces in Siberia have been moved to the western military districts.,"(MD0)Major Russian military forces (MD1)historically deployed(MD1) in Siberia have been moved to the western military districts. It is no accident that they are arrayed in a position to swiftly invade and occupy Ukraine if push comes to shove, moving to and from the border in a way that makes it impossible to know if an attack is about to commence.(MD0)"
