generated,expected,generated_md,original_md
,"Ingrid Dickinson: ""I'm a great woman. I'm a good woman""",(MD0)(MD2)(MD2)(MD2)(MD1)(MD2)(MD2)(MD0)(MD2)(MD1)(MD1)(MD2)(MD1)(MD0)(MD1)(MD2)(MD0),(MD0)(MD1)(MD2)By Ingrid Dickinson(MD2)(MD1)(MD0)
"On February 23, 2022, the Telegram channel theTelegram channel opopopomomomar �A few weeks, within two weeks, War on Fakes grew to over 625,000 subscribers and is now one of the top Telegram channels in Russia, with a reach of more than 30 million daily views.","The Telegram channel is one of the top Telegram channels in Russia, with a reach of more than 30 million daily views. The channel presents itself as debunking the “information war against Russia,” spreads disinformation and propaganda.","(MD0)On February 23, 2022, the Telegram channel (MD1)theTelegram channel (MD2)(MD1) (MD1)opopopomomomar (MD1)(MD1)(MD1) �A few weeks, within two weeks, War on Fakes grew to over 625,000 subscribers and is now one of the top Telegram channels in Russia, with a reach of more than 30 million daily views.(MD0)","(MD0)On February 23, 2022, the Telegram channel (MD1)Война с фейками(MD1) (“War on Fakes”) first appeared online, ending its first day with a modest 161 subscribers. It quickly skyrocketed; within two weeks, War on Fakes grew to over 625,000 subscribers and is now one of the top Telegram channels in Russia, with a reach of more than 30 million daily views. The channel, which presents itself as debunking the “information war against Russia,” spreads disinformation and propaganda under the façade of a fact-checking service. Its staggering growth since its inception indicates it may be gaining traction more broadly, including through the publishing of an English-language (MD2)website(MD2).(MD0)"
"The War on Fakes“We consider it important to provide objective information about what is happening in Ukraine and the territories of Donbass, since we see signs of an information war launched against Russia.","The War on Fakes’ operators describe themselves on its English-language website as “the owners and administrators of several non-political telegram channels’ They continue, “We don’t do politics. But we consider it important to provide objective information about what is happening in Ukraine and the territories of Donbass","(MD0)The War on Fakes“We consider it important to provide objective information about what is happening in Ukraine and the territories of Donbass, since we see signs of an information war launched against Russia.(MD0)","(MD0)The War on Fakes’ operators (MD1)describe themselves(MD1) on its English-language website as “the owners and administrators of several non-political telegram channels.” They continue, “We don’t do politics. But we consider it important to provide objective information about what is happening in Ukraine and the territories of Donbass, since we see signs of an information war launched against Russia.” This introduction is intended to present War on Fakes as an objective source for fact-checking mis- and disinformation about the Russia-Ukraine conflict, despite its extreme pro-Russia bias.(MD0)"
The DFRLab is not linking directly to the webpage because Microsoft Edge Edge and Firefox malware detectors both warn that the site is malicious.,The DFRLab is not linking directly to the webpage because Microsoft Edge and Firefox malware detectors both warn that the site is malicious.,(MD0)The DFRLab is not linking directly to the webpage because Microsoft Edge Edge and Firefox malware detectors both warn that the site is malicious.(MD0),"(MD0)A pinned post to the Telegram channel points toward a Russian version of website, xn — 80aaenqccitej3b1b.xn — p1ai. The DFRLab is not linking directly to the webpage because Microsoft Edge and Firefox malware detectors both warn that the site is malicious.(MD0)"
"A scan of the channel’s posts makes it clear that War on Fakes is not objective, instead pushing content to support narratives echoed by Russian state media and the Kremlin.","War on Fakes is not objective, instead pushing content to support narratives echoed by Russian state media and the Kremlin.","(MD0)A scan of the channel’s posts makes it clear that War on Fakes is not objective, instead pushing content to support narratives echoed by Russian state media and the Kremlin.(MD0)","(MD0)A scan of the channel’s posts makes it clear that War on Fakes is not objective, instead pushing content to support narratives echoed by Russian state media and the Kremlin. Its commentary refers to the war in Ukraine exclusively as the “special operation in Ukraine” (“спецоперация в Украине”), following Kremlin policy to not refer to the situation as a “war” or “invasion.” Although not all of its posts are completely falsified, they use alternative explanations to spin context, question facts, and promote wild suggestions of hired actors and staged atrocities — all common tactics in (MD1)Russian influence operations and propaganda(MD1).(MD0)"
The channel has started to receive some attention from mainstream Russian propaganda outlets.,"The channel has started to receive some attention from mainstream Russian propaganda outlets, such as RT and RIA Novosti.",(MD0)The channel has started to receive some attention from mainstream Russian propaganda outlets.(MD0),"(MD0)The channel has started to receive some attention from mainstream Russian propaganda outlets, such as (MD1)RT(MD1) and (MD1)RIA Novosti.(MD1) For instance, (MD1)RT(MD1) cited War on Fakes on February 27 in a (MD2)Telegram post(MD2) that claimed a heavily circulated photo of a Ukrainian civilian injured during a Russian airstrike in Chuhuiv was likely faked, and that the same woman was photographed two days later with no injuries. This was also reposted by Vladimir Soloviev, a (MD3)well-known(MD3) Russian journalist and propagandist.(MD0)"
"The claim that the photo is staged has been debunked, as metadata showed that the picture was in fact taken on the day of the Chuhiv airstrike.","The photo was in fact taken on the day of the Chuhuiv airstrike. The photographer is a well-respected photojournalist and the woman herself, Olena Kurilo, spoke out after the event.","(MD0)The claim that the photo is staged has been (MD1)debunked(MD1), as metadata showed that the picture was in fact taken on the day of the Chuhiv airstrike.(MD0)","(MD0)The claim that the photo is staged has been (MD1)debunked(MD1), as metadata showed that the picture was in fact taken on the day of the Chuhuiv airstrike; the photographer is a well-respected photojournalist; and the woman herself, Olena Kurilo, (MD2)spoke out(MD2) after the event, showing the same injuries as those in the original photo.(MD0)"
"The DFRLab subsequently ran the image provided by War on Fakes through Microsoft Azure’s Face Verification tool, which uses facial recognition algorithms to determine the likelihood that two faces are the same person.",The DFRLab ran the image provided by War on Fakes through Microsoft Azure’s Face Verification tool. It uses facial recognition algorithms to determine the likelihood that two faces are the same person.,"(MD0)The DFRLab subsequently ran the image provided by War on Fakes through Microsoft Azure’s Face Verification tool, which uses facial recognition algorithms to determine the likelihood that two faces are the same person.(MD0)","(MD0)The DFRLab subsequently ran the image provided by War on Fakes through Microsoft Azure’s Face Verification tool, which uses facial recognition algorithms to determine the likelihood that two faces are the same person. When an original photo of Kurilo is compared with the photo that War on Fakes claims is also her, it provides a 29 percent confidence that these photos are the same person. This is a considerably low score, even taking into account that one of the images includes facial injuries, suggesting that while these two may look alike, it is highly unlikely that the person in the original photo is Kurilo.(MD0)"
"War on Fakes makes hundreds of other highly controversial claims, including that the corpses seen in photos of an attack on a Kyiv TV tower may have been brought in from a nearby morgue.",A post rebutted Bellingcat’s research on cluster munitions being used by the Russian military. Another post implied that Ukraine carried out these attacks on its own residential areas.,"(MD0)War on Fakes makes hundreds of other highly controversial claims, including that the corpses seen in photos of an attack on a Kyiv TV tower may have been brought in from a nearby morgue.(MD0)","(MD0)War on Fakes makes hundreds of other highly controversial claims, including that the corpses seen in photos of an attack on a Kyiv TV tower may have been brought in from a nearby morgue. (Warning: the footage is (MD1)extremely graphic(MD1).) (MD2)Another post(MD2) rebutted Bellingcat’s (MD3)research on cluster munitions(MD3) being used by the Russian military and implied that Ukraine carried out these attacks on its own residential areas.(MD0)"
"The channel has gained significant traction domestically in Russia, and continues to be amplified by prominent Russian outlets.","The channel has gained significant traction domestically in Russia, and continues to be amplified by prominent Russian outlets. It was heavily amplified on the Telegram channels of key figures and outlets in Russian media, including RT, RIA Novosti, RT Editor-in-Chief Margarita Simonyan, and propagandist Vladimir Soloviev.","(MD0)The channel has gained significant traction domestically in Russia, and continues to be amplified by prominent Russian outlets.(MD0)","(MD0)Despite the propagandistic quality of its content, the channel has gained significant traction domestically in Russia, and continues to be amplified by prominent Russian outlets. It was heavily amplified on the Telegram channels of key figures and outlets in Russian media, including (MD1)(MD2)RT(MD2)(MD1), (MD3)(MD2)RIA Novosti(MD2)(MD3), (MD2)RT(MD2) Editor-in-Chief (MD4)Margarita Simonyan(MD4), and propagandist (MD5)Vladimir Soloviev(MD5), in some cases as soon as the day after its launch. It received a further boost when it was recently promoted by the Russian Foreign Ministry. As each of these channels have hundreds of thousands of followers, it is likely that much of War on Fakes’ growth resulted from their amplification, which in turn allowed those channels to use War on Fakes’ “objective” analysis to counter any news coming out of Ukraine that might negatively impact public opinion in Russia. War on Fakes’ posts have now been cited as legitimate fact-checks on hundreds of Russian media sites, including (MD6)(MD2)RT(MD2)(MD6) on multiple occasions.(MD0)"
